blm	blaðamaður
brt	brúttótonn
brt	brúttótonna
ca	sirka
cl	sentilítri
cl	sentilítrar
cm	sentimetri
cm	sentimetra
cm	sentimetrar
cm	sentimetrum
dl	desilítri
dl	desilítrar
dl.	desilítri
dl.	desiltítrar
Dr.	doktor
dr.	doktor
fm	fermetrar
fm	fermetra
FM	F M
g	gramm
g	grömm
g	grömmum
g	gramma
gr	gramm
gr	grömm
gr	gramma
gr	grömmum
gr.	gramm
gr.	grömm
gr.	gramma
gr.	grömmum
GR	Golfklúbbur Reykjavíkur
GR	Golfklúbbi Reykjavíkur
innsk	innskot
kl	klukkan
kl.	klukkan
klst	klukkustund
klst	klukkustundir
klst	klukkustunda
klst	klukkustundum
klst.	klukkustund
klst.	klukkustundir
klst.	klukkustunda
klst.	klukkustundum
km	kílómetri
km	kílómetrar
km	kílómetra
km	kílómetrum
kr	krónur
kr	króna
kr	krónum
kr.	krónur
kr.	króna
kr.	krónum
KR	K R
Kr.	K R
kw	kílówatt
kw	kílówött
kw	kílówatta
kw	kílówöttum
m	metri
m	metra
m	metrar
m	metrum
mg	milligramm
mg	milligrömm
mg.	milligramm
mg.	milligrömm
ml	millilítri
ml	millilítrar
mm	millimetri
mm	millimetra
mm	millimetrar
mm	millimetrum
mkr	milljónir króna
mkr	milljónum króna
mkr.	milljónir króna
mkr.	milljónum króna
msk	matskeið
msk	matskeiðar
msk.	matskeið
msk.	matskeiðar
Nr	númer
nr	númer
Nr.	númer
nr.	númer
pk	pakki
pk	pakkar
pk	pökkum
pk	pakka
RVK	Reykjavík
Rvk	Reykjavík
rvk	Reykjavík
Sr.	séra
sr.	séra
s.s.	svo sem
s.s	svo sem
sm	sentimetri
sm	sentimetra
sm	sentimetrar
sm	sentimetrum
St	seint
St.	seint
stk	stykki
stk.	stykki
tsk	teskeið
tsk	teskeiðar
tsk.	teskeið
tsk.	teskeiðar
vs	versus
td	til dæmis
t.d	til dæmis
t.d.	til dæmis
twst	teravattstundir
